,vm,pm,GucTuketimi
0,Acik,compute3,114.0
1,Acik,compute4,123.0
2,Kapali,compute1,0.0
3,Kapali,compute2,0.0
4,aypostest7,compute4,0.0
5,aypostest8,compute3,0.0
6,aypostest6,compute4,0.0
7,s88,compute4,0.0
8,aypostest10,compute4,0.0
9,aypostest9,compute4,0.0
10,aypostest4,compute4,3.0
11,aypostest11,compute4,0.0
12,aypos_test,compute3,0.0
13,aypostest5,compute4,6.0
