,past_power,cur_power,prop_power,prop_ratio,actual_ratio,val_ratio,val_difference
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,609.4228642829542,407.40421405709304,268.2258064516129,0.5605912203483344,0.3315110371676349,0.4076570938655884,0.22908018318069878
std,15.557786941563714,34.988914017240916,36.75206087411458,0.05603589515994427,0.05644665309476804,0.09001258477248768,0.057928345080495
min,566.7839144295306,288.1228219633933,123.0,0.5354391470906641,0.15271037069780202,0.259938199398077,0.141964996061502
25%,599.2283253567883,400.4184334893689,270.5,0.5412706040239721,0.30370426905232806,0.36677527323479253,0.199299685477288
50%,610.15906156406,409.11210101010136,279.0,0.5459868582378731,0.33196956363211,0.399875375845094,0.225520443039835
75%,621.0895488177,424.2947304799882,283.5,0.5518311003727396,0.352630054208152,0.45427387578194856,0.2536578955839725
max,631.0277121464233,499.6472592592588,293.0,0.782986078347336,0.49165314217960804,0.7226571527188901,0.397909096127739
